Model,RMSE,MAE,R²,MAPE (%),Train Time (s),Has UQ,CI Coverage (%),CI Width,NLPD
GP,0.005477731886628032,0.004591500208930552,0.9882843191955997,11.09652236466757,164.8853681087494,✓,98.55072463768117,0.023933678486740075,-3.773902740896549
Ensemble,0.005536218295831229,0.004585360187045629,0.988032804101041,9.768059820965663,18.91133403778076,✓,98.55072463768117,0.0243157383666173,-3.756824919540857
MLP,0.0055544120149221875,0.004481174635227526,0.9879540190715652,9.201335905155037,0.2539863586425781,✓,,,
DKL,0.005770001008865889,0.00458175487967505,0.987000765866158,8.62362373319436,16.517417669296265,✓,100.0,0.07735396651780276,-2.963770052938308
XGBoost,0.005897573336938494,0.004884638114953818,0.9864195960563099,10.71445494577152,0.14666461944580078,✓,,,
MoE,0.005924368940330605,0.004767304680813605,0.9862959106775187,10.184833874178095,2.028851270675659,✓,97.10144927536231,0.025711415874417137,-3.667407744243757
