Model,RMSE,MAE,R²,MAPE (%),Train Time (s),Has UQ,CI Coverage (%),CI Width,NLPD
DKL,0.010811706534342257,0.008761193538705506,0.9565035751570359,4.2098582944574146,13.616889953613281,✓,100.0,0.09756956028740521,-2.680344383278218
Ensemble,0.010973408145411274,0.008909122129943521,0.9551927666197293,4.3155672136889205,19.100759267807007,✓,100.0,0.0494633014113006,-3.0778523347606552
XGBoost,0.011592416304905208,0.009614362314343452,0.9499950494627047,4.591808314348414,0.07107090950012207,✓,,,
MLP,0.012926087036533028,0.009853272079429315,0.9378273733533415,4.556304767910213,0.3887033462524414,✓,,,
GP,0.013447681177059087,0.010577954214664483,0.9327085522355967,4.772379779834378,140.94115781784058,✓,95.83333333333334,0.04682561973269713,-2.910422757680397
MoE,0.017288043207899166,0.014074173349748116,0.8887866961848672,6.846608049791571,0.34346437454223633,✓,100.0,0.13293741729364006,-2.353755143018528
